restaurant,restaurant_address,food,food_origin
Texas Roadhouse,685 Tom Divide Apt. 622,Macarons,equatorial-guinea
Cheesecake Factory,6469 Crystal Crossroad,Vindaloo,united-states
Sonic Drive-In,1247 Grace Islands Apt. 246,Salad,jordan
Shake Shack,60267 Howard Street Suite 857,Laksa,rwanda
Starbucks,3461 Samuel Wells Apt. 182,Macarons,equatorial-guinea
Popeyes,457 Bobby Lights Suite 545,Croissant,pakistan
Cracker Barrel,6038 Luis Parkways,Borscht,cyprus
Sonic Drive-In,08186 Briggs Path Apt. 893,Pizza,saint-vincent-and-the-grenadines
Cracker Barrel,8162 Carroll Shoals,Jollof Rice,new-zealand
Outback Steakhouse,792 Perez Place,Baguette,brunei
Chick-fil-A,74829 Clarke Park,Laksa,saint-vincent-and-the-grenadines
Panera Bread,30025 Cynthia Bypass Apt. 688,Barbecue Ribs,central-african-republic
Subway,2314 Anderson Coves Suite 102,French Fries,lithuania
Tim Hortons,00983 Pamela Springs,Sushi,guinea
Taco Bell,68341 Christy Village,Sushi,guinea
Pizza Hut,0549 Susan Fields Suite 973,Bao,saint-kitts-and-nevis
Cracker Barrel,5314 Mcdonald Throughway,Plantains,korea-north
Buffalo Wild Wings,88469 Margaret Shore,Pad Thai,sweden
Panera Bread,2894 Kenneth Roads,Nasi Goreng,sudan
Dunkin',5112 Campbell Mount,Falafel,bosnia-and-herzegovina
Cheesecake Factory,12848 Navarro Turnpike Suite 366,Salad,botswana
Subway,24104 Melissa Village,Barbecue Ribs,israel
Popeyes,845 Jennifer Underpass,Cheesecake,kenya
Olive Garden,41292 Conway Cape,Tonkatsu,panama
Arby's,8840 Grant Valley Suite 846,Falafel,moldova
Dunkin',98184 Knight Underpass,Udon,nepal
Subway,3258 Chase Motorway Apt. 151,Tacos,eritrea
Dunkin',31396 Lauren Lodge,Poke Bowl,china
McDonald's,457 Bobby Lights Suite 545,Gumbo,faroe-islands
Tim Hortons,25623 Scott Extensions,Tamales,south-sudan
Red Lobster,9968 Estes Inlet Suite 797,Fried Chicken,oman
Sonic Drive-In,757 Valerie Shores,Churros,turkmenistan
Burger King,039 Johnson Bypass Apt. 537,Udon,mauritania
Ruby Tuesday,477 Smith Meadow Apt. 029,Pancakes,ireland
Olive Garden,9526 Jones Lodge Apt. 826,Ratatouille,syria
Little Caesars,54047 Eric Station Apt. 446,Pozole,malaysia
Tim Hortons,5112 Campbell Mount,Fish and Chips,new-zealand
Domino's,358 Dodson Passage,Shakshuka,nicaragua
Wendy's,9465 Karen Estates Apt. 314,Samosa,georgia
Popeyes,45590 Brown Prairie,Crepes,israel
Five Guys,32944 Carter River Apt. 361,Jambalaya,czechia
Starbucks,186 Debra Village Suite 696,Salad,botswana
Subway,66337 Julie Cape Apt. 093,Borscht,cyprus
Sonic Drive-In,0140 Smith Heights Suite 124,Pad Thai,somalia
TGI Friday's,000 Kane Expressway,Gumbo,faroe-islands
Domino's,670 Vanessa Cape,Burger,costa-rica
Wendy's,0768 Hector Trace,Borscht,sweden
Wendy's,677 Carolyn Way,Khachapuri,costa-rica
Shake Shack,757 Valerie Shores,Bao,bahamas-the
Tim Hortons,532 Pugh Wells,Lasagna,oman
Five Guys,5698 Joel Trail Apt. 253,Bratwurst,philippines
Outback Steakhouse,9486 Nancy Keys,Samosa,georgia
Shake Shack,2894 Kenneth Roads,Lasagna,oman
Cheesecake Factory,925 Ramirez Road,Burger,costa-rica
KFC,8481 Foster Drive,Nasi Goreng,philippines
Chick-fil-A,5113 Webb Springs,Fish and Chips,poland
Shake Shack,60267 Howard Street Suite 857,Borscht,china
Pizza Hut,0324 Claudia Tunnel Apt. 292,Pad Thai,gambia-the
TGI Friday's,5333 Patrick Route,Risotto,madagascar
Pizza Hut,52323 Mercer Skyway Apt. 291,Lasagna,bahamas-the
Panera Bread,34980 Jones Inlet Apt. 469,Udon,nepal
Chipotle,8984 Moore Junctions Apt. 841,Sticky Rice,pakistan
TGI Friday's,31396 Lauren Lodge,Crepes,philippines
Taco Bell,98184 Knight Underpass,Jambalaya,belgium
Olive Garden,41292 Conway Cape,Biryani,estonia
McDonald's,006 Scott Mountain Suite 766,Pizza,saint-vincent-and-the-grenadines
Panera Bread,2894 Kenneth Roads,Steak,estonia
Red Lobster,10865 Michael Ranch Suite 245,Kimchi,dominican-republic
Chipotle,2265 Christopher Crescent Suite 466,Churros,latvia
McDonald's,19362 Payne Causeway Suite 534,Biryani,virgin-islands
Panera Bread,30025 Cynthia Bypass Apt. 688,Risotto,madagascar
Cracker Barrel,9072 Sherman Loop,Steamed Buns,cambodia
Cheesecake Factory,226 Patel Ridge Suite 602,Baguette,brunei
Wendy's,22777 Rush Key,Ratatouille,kuwait
TGI Friday's,254 Natalie Harbor,Croissant,pakistan
IHOP,471 Holloway Road,Barbecue Ribs,central-african-republic
Starbucks,44769 Alexander Meadow Apt. 850,Tamales,costa-rica
Chili's,849 Barrera Villages,Poke Bowl,afghanistan
Ruby Tuesday,55401 Stanley Plaza Suite 740,Gumbo,chad
Domino's,670 Vanessa Cape,Croissant,vietnam
Starbucks,78936 Lopez Freeway Apt. 599,Jambalaya,belgium
IHOP,74004 Knight Manor,Gelato,cayman-islands
Five Guys,720 Wells Street,Quiche,aruba
Panera Bread,34980 Jones Inlet Apt. 469,Laksa,russia
Popeyes,9058 Jonathan Via,Risotto,bhutan
Applebee's,720 Wells Street,Bao,saint-kitts-and-nevis
Texas Roadhouse,0549 Susan Fields Suite 973,Meatballs,panama
Domino's,616 Yvette Islands,Miso Soup,congo-democratic-republic-of-the
Subway,66337 Julie Cape Apt. 093,Salad,botswana
Chipotle,8984 Moore Junctions Apt. 841,Plantains,korea-north
Chipotle,0976 Conway Route Apt. 897,Crepes,thailand
Texas Roadhouse,82905 Douglas Plains Suite 291,Samosa,trinidad-and-tobago
Chili's,44769 Alexander Meadow Apt. 850,Gumbo,chad
Outback Steakhouse,3716 Weiss Mill Apt. 724,Jollof Rice,jersey
Applebee's,54047 Eric Station Apt. 446,Borscht,sweden
Cheesecake Factory,925 Ramirez Road,Ratatouille,chad
Pizza Hut,209 Erika Land,Steak,estonia
Taco Bell,68341 Christy Village,Tonkatsu,serbia
Five Guys,32944 Carter River Apt. 361,Ratatouille,guam
Chick-fil-A,8877 Singleton Greens,Bento Box,mexico
Cracker Barrel,19507 Melissa Street,Lamb Roast,turkey-turkiye
Subway,85583 Courtney Village Apt. 623,Pho,montenegro
Wendy's,677 Carolyn Way,Salad,jordan
Cracker Barrel,150 Tina Shoals Apt. 638,Nasi Goreng,philippines
Chipotle,5073 Scott Groves Suite 909,Falafel,bosnia-and-herzegovina
Subway,24104 Melissa Village,Biryani,niger
Chipotle,322 Medina River,Crepes,thailand
TGI Friday's,943 Williams Flat Apt. 054,Haggis,slovakia
Starbucks,186 Debra Village Suite 696,Pho,portugal
Little Caesars,73551 Lopez Loaf,Pierogi,united-kingdom
McDonald's,925 Ramirez Road,Bao,bahamas-the
Burger King,039 Johnson Bypass Apt. 537,Jambalaya,bermuda
Little Caesars,73551 Lopez Loaf,Bratwurst,philippines
McDonald's,006 Scott Mountain Suite 766,Pho,comoros
Tim Hortons,5113 Webb Springs,Bento Box,burundi
Cheesecake Factory,925 Ramirez Road,Steamed Buns,djibouti
Subway,85583 Courtney Village Apt. 623,Empanadas,guinea
Wendy's,22777 Rush Key,Bao,bahamas-the
Taco Bell,288 Benjamin Inlet,Udon,nepal
Buffalo Wild Wings,670 Vanessa Cape,Crepes,philippines
Texas Roadhouse,66456 Katherine Place,Quiche,india
Cracker Barrel,991 Deborah Crescent,Falafel,united-states
IHOP,4859 Isaac Squares,Spring Rolls,hungary
Wendy's,22777 Rush Key,Pad Thai,czechia
Five Guys,920 Ashley Club,Shawarma,nepal
Arby's,85583 Courtney Village Apt. 623,Sticky Rice,pakistan
Wendy's,97711 Leblanc Plains Apt. 306,French Fries,cabo-verde
Five Guys,207 Beth Alley,Tortilla,albania
Texas Roadhouse,66456 Katherine Place,Shakshuka,nicaragua
Red Lobster,66057 Bradford Ramp,Jambalaya,cayman-islands
Popeyes,738 Garner Bypass,Jollof Rice,jersey
McDonald's,19362 Payne Causeway Suite 534,Goulash,congo-democratic-republic-of-the
Chili's,34229 Earl Squares Apt. 712,Baguette,congo-democratic-republic-of-the
Cheesecake Factory,20611 Wheeler Pine,Banoffee Pie,malawi
Arby's,66337 Julie Cape Apt. 093,Hummus,botswana
Little Caesars,849 Barrera Villages,Bento Box,mexico
Olive Garden,42875 Green Rapid,Tacos,malta
Wendy's,677 Carolyn Way,Omelette,benin
Shake Shack,757 Valerie Shores,Vindaloo,finland
Chili's,44769 Alexander Meadow Apt. 850,Coleslaw,senegal
KFC,477 Smith Meadow Apt. 029,Quiche,solomon-islands
KFC,300 Lloyd Causeway,Bento Box,mexico
IHOP,042 Donald Circles Apt. 738,Lasagna,bahamas-the
Dunkin',5112 Campbell Mount,Meatballs,bermuda
Texas Roadhouse,419 Davis Centers Suite 321,Pad Thai,sweden
Panera Bread,30025 Cynthia Bypass Apt. 688,Pierogi,hong-kong
Chipotle,8984 Moore Junctions Apt. 841,Pozole,botswana
Five Guys,5698 Joel Trail Apt. 253,Croissant,pakistan
Applebee's,5698 Joel Trail Apt. 253,Crepes,turkmenistan
Starbucks,198 Dana Junctions,Tamales,costa-rica
TGI Friday's,66057 Bradford Ramp,Pasta,switzerland
Pizza Hut,52323 Mercer Skyway Apt. 291,Arepas,kazakhstan
Domino's,358 Dodson Passage,Kimchi,dominican-republic
Chick-fil-A,8877 Singleton Greens,Tempura,cayman-islands
Sonic Drive-In,0140 Smith Heights Suite 124,Banoffee Pie,portugal
Ruby Tuesday,477 Smith Meadow Apt. 029,Bao,bahamas-the
Shake Shack,26939 Mathews Throughway Suite 744,Risotto,nicaragua
Shake Shack,757 Valerie Shores,Banoffee Pie,malawi
Chipotle,322 Medina River,Jollof Rice,jersey
McDonald's,0500 Riley Wells,Pierogi,south-sudan
Chili's,207 Beth Alley,Satay,haiti
Taco Bell,546 Clark Mall,Shawarma,nepal
Cheesecake Factory,6469 Crystal Crossroad,Shakshuka,nicaragua
Chili's,447 Alyssa Radial Apt. 946,Borscht,cyprus
KFC,477 Smith Meadow Apt. 029,Sushi,guinea
Chili's,207 Beth Alley,Hummus,solomon-islands
Red Lobster,1870 Jennifer Village Suite 635,Kimchi,dominican-republic
Taco Bell,9466 Hoffman Divide Suite 684,Bao,bahamas-the
Chili's,8481 Foster Drive,Ratatouille,syria
Cracker Barrel,5314 Mcdonald Throughway,Baguette,congo-democratic-republic-of-the
Taco Bell,9466 Hoffman Divide Suite 684,Goulash,spain
Buffalo Wild Wings,8707 Doyle Drive Apt. 256,Kimchi,chile
Starbucks,0324 Claudia Tunnel Apt. 292,Coleslaw,costa-rica
Applebee's,54047 Eric Station Apt. 446,Tacos,eritrea
Domino's,251 Barnett Parks,Steak,lithuania
Taco Bell,546 Clark Mall,Arepas,saint-kitts-and-nevis
KFC,1673 Townsend Turnpike,Coleslaw,ireland
Popeyes,161 Berry Falls Suite 287,Bao,bahamas-the
TGI Friday's,38536 Richardson Green,Nasi Goreng,sudan
Subway,2314 Anderson Coves Suite 102,French Fries,cabo-verde
Outback Steakhouse,491 Jennifer Parkway,Quiche,el-salvador
Domino's,456 Carrie Dale Apt. 861,Kebab,somalia
Olive Garden,42875 Green Rapid,Tabbouleh,thailand
Texas Roadhouse,9072 Sherman Loop,Biryani,virgin-islands
KFC,861 Gibson Square Apt. 265,Crepes,zambia
TGI Friday's,3871 Castaneda Pines Apt. 351,Pad Thai,sweden
Taco Bell,553 Anderson Ridge Apt. 584,Roti,congo-republic-of-the
Outback Steakhouse,3871 Castaneda Pines Apt. 351,Cornbread,estonia
Outback Steakhouse,34229 Earl Squares Apt. 712,Gnocchi,austria
Shake Shack,2894 Kenneth Roads,Goulash,antigua-and-barbuda
Pizza Hut,2845 Miller Harbors Suite 164,Laksa,kazakhstan
Chipotle,664 Austin Extension,Roti,papua-new-guinea
Sonic Drive-In,61988 Tony Isle,Baguette,armenia
TGI Friday's,000 Kane Expressway,Hummus,curacao
Five Guys,62545 Alexis Underpass Apt. 452,Gnocchi,austria
Wendy's,9465 Karen Estates Apt. 314,Haggis,cote-divoire
Dunkin',6561 James Junctions Suite 693,Risotto,bhutan
Red Lobster,53104 Lambert Field Suite 907,Vindaloo,bhutan
KFC,477 Smith Meadow Apt. 029,Churros,grenada
Ruby Tuesday,9339 Autumn Burg Suite 220,Lasagna,germany
Panera Bread,08186 Briggs Path Apt. 893,Macarons,equatorial-guinea
Ruby Tuesday,2314 Anderson Coves Suite 102,Pancakes,ireland
Chipotle,5073 Scott Groves Suite 909,Spring Rolls,tajikistan
Pizza Hut,3600 Tamara Circle Apt. 910,Curry,united-arab-emirates
Olive Garden,322 Medina River,Fried Chicken,new-caledonia
Red Lobster,1813 Garrett Mill,Gnocchi,new-caledonia
Sonic Drive-In,08186 Briggs Path Apt. 893,Fried Chicken,bermuda
Chili's,0768 Hector Trace,Borscht,china
Olive Garden,861 Gibson Square Apt. 265,Sticky Rice,pakistan
KFC,44067 Thompson Crescent,Meatballs,pakistan
IHOP,764 Moyer Groves,Steak,estonia
Subway,2450 Lozano Spring,Gnocchi,uzbekistan
Little Caesars,73551 Lopez Loaf,Poke Bowl,afghanistan
Chili's,87065 Gallegos Landing Apt. 450,Pancakes,burundi
Ruby Tuesday,2314 Anderson Coves Suite 102,Pizza,iran
Dunkin',597 Matthews Dam Apt. 675,Tortilla,albania
IHOP,74004 Knight Manor,Steak,estonia
TGI Friday's,3871 Castaneda Pines Apt. 351,Carrot Cake,sri-lanka
Five Guys,62545 Alexis Underpass Apt. 452,Banoffee Pie,portugal
Domino's,597 Matthews Dam Apt. 675,Pierogi,united-kingdom
Chick-fil-A,8877 Singleton Greens,Hotdog,puerto-rico
Domino's,251 Barnett Parks,Lamb Roast,burkina-faso
Pizza Hut,3600 Tamara Circle Apt. 910,Fish and Chips,saint-lucia
Subway,358 Dodson Passage,Burger,costa-rica
Starbucks,19362 Payne Causeway Suite 534,Samosa,cameroon
Shake Shack,1247 Grace Islands Apt. 246,Dolma,qatar
Red Lobster,66057 Bradford Ramp,Curry,lebanon
Popeyes,6409 Johnson Plaza Suite 999,Risotto,malaysia
Subway,85583 Courtney Village Apt. 623,Meatballs,pakistan
Olive Garden,4876 Williams Harbor Apt. 516,Harira,canada
Wendy's,22777 Rush Key,Spring Rolls,tajikistan
IHOP,764 Moyer Groves,Samosa,zimbabwe
Cracker Barrel,150 Tina Shoals Apt. 638,French Fries,kazakhstan
Wendy's,20611 Wheeler Pine,Miso Soup,malta
Domino's,456 Carrie Dale Apt. 861,Steak,guinea-bissau
Little Caesars,54047 Eric Station Apt. 446,Borscht,china
Shake Shack,517 Gonzalez Orchard,Harira,tonga
IHOP,764 Moyer Groves,Spring Rolls,hungary
Pizza Hut,0324 Claudia Tunnel Apt. 292,Fish and Chips,new-zealand
IHOP,6402 Reid Ford,Falafel,united-states
Tim Hortons,61988 Tony Isle,Pad Thai,somalia
Chili's,34229 Earl Squares Apt. 712,Salad,malaysia
Five Guys,62545 Alexis Underpass Apt. 452,Tempura,seychelles
Buffalo Wild Wings,68341 Christy Village,Crepes,dominican-republic
Little Caesars,849 Barrera Villages,Gumbo,faroe-islands
McDonald's,82905 Douglas Plains Suite 291,Biryani,estonia
Shake Shack,60267 Howard Street Suite 857,Tortilla,ecuador
Olive Garden,42875 Green Rapid,French Fries,cabo-verde
Sonic Drive-In,0140 Smith Heights Suite 124,Churros,korea-south
Ruby Tuesday,55401 Stanley Plaza Suite 740,Goulash,congo-democratic-republic-of-the
Buffalo Wild Wings,68341 Christy Village,Biryani,virgin-islands
IHOP,042 Donald Circles Apt. 738,Crepes,turkmenistan
Five Guys,5698 Joel Trail Apt. 253,Bento Box,burundi
Shake Shack,2894 Kenneth Roads,Lamb Roast,turkey-turkiye
KFC,861 Gibson Square Apt. 265,Coleslaw,west-bank
Popeyes,6409 Johnson Plaza Suite 999,Chow Mein,congo-democratic-republic-of-the
Taco Bell,0769 Michael Springs,Fried Chicken,oman
Buffalo Wild Wings,88469 Margaret Shore,Coleslaw,ireland
KFC,8481 Foster Drive,Barbecue Ribs,israel
Cheesecake Factory,78936 Lopez Freeway Apt. 599,Bao,saint-kitts-and-nevis
Dunkin',480 Matthew Ville Suite 854,Croissant,malta
Panera Bread,30025 Cynthia Bypass Apt. 688,Crepes,zambia
Tim Hortons,20131 Bradley Ways,Arepas,vietnam
Ruby Tuesday,2314 Anderson Coves Suite 102,Cornbread,china
Tim Hortons,150 Tina Shoals Apt. 638,Shakshuka,virgin-islands
Cracker Barrel,3258 Chase Motorway Apt. 151,Harira,puerto-rico
Applebee's,312 Kristy Glen,Banoffee Pie,malawi
Tim Hortons,150 Tina Shoals Apt. 638,Steak,estonia
Wendy's,0768 Hector Trace,Baguette,congo-democratic-republic-of-the
IHOP,4859 Isaac Squares,Jollof Rice,new-zealand
Chipotle,22777 Rush Key,Lamb Roast,turks-and-caicos-islands
Texas Roadhouse,419 Davis Centers Suite 321,Roti,congo-republic-of-the
Outback Steakhouse,3716 Weiss Mill Apt. 724,Biryani,estonia
Chick-fil-A,8877 Singleton Greens,Poke Bowl,lithuania
Arby's,44067 Thompson Crescent,Spring Rolls,cyprus
Subway,85583 Courtney Village Apt. 623,Baguette,armenia
Chipotle,74829 Clarke Park,Lasagna,micronesia-federated-states-of
Starbucks,198 Dana Junctions,Harira,poland
Cheesecake Factory,925 Ramirez Road,Pizza,dominican-republic
Olive Garden,4876 Williams Harbor Apt. 516,Satay,bahamas-the
Chipotle,8984 Moore Junctions Apt. 841,Ceviche,seychelles
Pizza Hut,209 Erika Land,Lasagna,bahamas-the
Sonic Drive-In,745 Dana River Suite 513,Omelette,cabo-verde
Cracker Barrel,991 Deborah Crescent,Poke Bowl,china
Outback Steakhouse,991 Deborah Crescent,Omelette,malaysia
Cheesecake Factory,925 Ramirez Road,Salad,ecuador
Chipotle,2265 Christopher Crescent Suite 466,Spring Rolls,tajikistan
Taco Bell,0769 Michael Springs,Tempura,cayman-islands
Taco Bell,293 Williams Underpass,Vindaloo,bhutan
Applebee's,5698 Joel Trail Apt. 253,Churros,korea-south
Sonic Drive-In,757 Valerie Shores,Quiche,solomon-islands
Outback Steakhouse,792 Perez Place,Risotto,malaysia
Chick-fil-A,553 Anderson Ridge Apt. 584,Gumbo,chad
Pizza Hut,52323 Mercer Skyway Apt. 291,Risotto,madagascar
Buffalo Wild Wings,30538 Carrie Pike Apt. 628,Poke Bowl,afghanistan
Olive Garden,322 Medina River,Cheesecake,china
Pizza Hut,685 Tom Divide Apt. 622,Tonkatsu,serbia
Domino's,000 Carney Circle,Coleslaw,ireland
Buffalo Wild Wings,88469 Margaret Shore,Risotto,bhutan
KFC,861 Gibson Square Apt. 265,Borscht,mali
Arby's,44067 Thompson Crescent,Hummus,botswana
TGI Friday's,66057 Bradford Ramp,Ratatouille,eswatini
Dunkin',5112 Campbell Mount,French Fries,kazakhstan
Popeyes,480 Matthew Ville Suite 854,Satay,bahamas-the
IHOP,764 Moyer Groves,Lamb Roast,turks-and-caicos-islands
Domino's,358 Dodson Passage,Bratwurst,slovenia
Chili's,207 Beth Alley,Risotto,romania
Ruby Tuesday,939 Smith Centers,Churros,korea-south
Cheesecake Factory,30538 Carrie Pike Apt. 628,Omelette,benin
KFC,861 Gibson Square Apt. 265,Roti,congo-republic-of-the
Cracker Barrel,389 Michael Drive Suite 565,Fried Chicken,oman
Ruby Tuesday,477 Smith Meadow Apt. 029,Omelette,curacao
Buffalo Wild Wings,88469 Margaret Shore,Gumbo,isle-of-man
Subway,85583 Courtney Village Apt. 623,Meatballs,bermuda
Taco Bell,288 Benjamin Inlet,Lasagna,germany
Cracker Barrel,3258 Chase Motorway Apt. 151,Coleslaw,costa-rica
Outback Steakhouse,51773 Holmes Fords Apt. 149,Risotto,bhutan
Cheesecake Factory,248 Aaron Wall Suite 624,Pho,portugal
Olive Garden,213 Brandon Extensions Suite 945,Pancakes,burundi
Buffalo Wild Wings,670 Vanessa Cape,Gumbo,faroe-islands
Pizza Hut,6469 Crystal Crossroad,Crepes,sierra-leone
Popeyes,457 Bobby Lights Suite 545,Falafel,bosnia-and-herzegovina
McDonald's,456 Carrie Dale Apt. 861,Jambalaya,czechia
Domino's,616 Yvette Islands,Laksa,rwanda
Sonic Drive-In,1247 Grace Islands Apt. 246,Chow Mein,greenland
Shake Shack,26939 Mathews Throughway Suite 744,Crepes,thailand
Popeyes,845 Jennifer Underpass,Crepes,thailand
Chick-fil-A,8877 Singleton Greens,Jambalaya,yemen
Chick-fil-A,74829 Clarke Park,Quiche,india
Arby's,85583 Courtney Village Apt. 623,Tacos,malta
KFC,943 Williams Flat Apt. 054,Risotto,romania
Pizza Hut,209 Erika Land,Cornbread,estonia
KFC,939 Smith Centers,Tabbouleh,thailand
Cheesecake Factory,6469 Crystal Crossroad,Miso Soup,congo-democratic-republic-of-the
Panera Bread,447 Alyssa Radial Apt. 946,Cornbread,guinea
Tim Hortons,5112 Campbell Mount,Sticky Rice,pakistan
Wendy's,9465 Karen Estates Apt. 314,Poke Bowl,china
Buffalo Wild Wings,30538 Carrie Pike Apt. 628,Laksa,rwanda
McDonald's,30025 Cynthia Bypass Apt. 688,Harira,tonga
Little Caesars,62001 Mallory Extension,Hummus,botswana
Chick-fil-A,362 Caitlin Corners Apt. 661,Pierogi,united-kingdom
Taco Bell,1870 Jennifer Village Suite 635,Barbecue Ribs,israel
Domino's,8830 Wise Forest Apt. 322,Satay,bolivia
Chipotle,8984 Moore Junctions Apt. 841,Falafel,panama
Domino's,597 Matthews Dam Apt. 675,Cornbread,china
Applebee's,2483 Walker Road,Miso Soup,iran
Pizza Hut,6469 Crystal Crossroad,Goulash,congo-democratic-republic-of-the
Domino's,456 Carrie Dale Apt. 861,Fried Chicken,bermuda
Ruby Tuesday,939 Smith Centers,Laksa,saint-vincent-and-the-grenadines
Arby's,8840 Grant Valley Suite 846,Cassoulet,kenya
Panera Bread,2894 Kenneth Roads,Risotto,bhutan
McDonald's,82905 Douglas Plains Suite 291,Burger,malawi
Olive Garden,861 Gibson Square Apt. 265,Jambalaya,belgium
Chili's,34229 Earl Squares Apt. 712,Falafel,austria
Subway,358 Dodson Passage,Haggis,slovakia
Cracker Barrel,6038 Luis Parkways,Pad Thai,dominican-republic
Olive Garden,861 Gibson Square Apt. 265,Tortilla,albania
Five Guys,007 Tiffany Haven Suite 378,Meatballs,pakistan
Ruby Tuesday,55401 Stanley Plaza Suite 740,Meatballs,panama
Dunkin',597 Matthews Dam Apt. 675,Arepas,kazakhstan
Chipotle,5887 Javier Fort Apt. 356,Miso Soup,ireland
McDonald's,19362 Payne Causeway Suite 534,Salad,brazil
Wendy's,22777 Rush Key,Roti,congo-republic-of-the
Subway,567 Dean Ways Apt. 733,Biryani,niger
Cheesecake Factory,12848 Navarro Turnpike Suite 366,Meatballs,malawi
Cheesecake Factory,419 Davis Centers Suite 321,Jollof Rice,jersey
Dunkin',6561 James Junctions Suite 693,Cornbread,canada
Cracker Barrel,5314 Mcdonald Throughway,Chow Mein,congo-democratic-republic-of-the
KFC,1673 Townsend Turnpike,Poke Bowl,italy
Little Caesars,3461 Samuel Wells Apt. 182,Cheesecake,colombia
Panera Bread,34980 Jones Inlet Apt. 469,Bento Box,mexico
Shake Shack,26939 Mathews Throughway Suite 744,Meatballs,pakistan
KFC,861 Gibson Square Apt. 265,Clam Chowder,burundi
Sonic Drive-In,0140 Smith Heights Suite 124,Omelette,benin
Outback Steakhouse,9486 Nancy Keys,Tamales,samoa
Arby's,47622 Lauren Way,Kimchi,dominican-republic
Dunkin',24104 Melissa Village,Fish and Chips,kenya
Arby's,44067 Thompson Crescent,Spring Rolls,hungary
Panera Bread,2894 Kenneth Roads,Hotdog,puerto-rico
Sonic Drive-In,745 Dana River Suite 513,Salad,jordan
Cheesecake Factory,20611 Wheeler Pine,Omelette,cabo-verde
Popeyes,457 Bobby Lights Suite 545,Baklava,solomon-islands
Popeyes,213 Brandon Extensions Suite 945,Gelato,kazakhstan
Pizza Hut,0324 Claudia Tunnel Apt. 292,Coleslaw,senegal
Arby's,590 Bernard Creek Apt. 744,Pizza,iran
Chick-fil-A,8877 Singleton Greens,Pasta,northern-mariana-islands
Red Lobster,278 Price Rest,Crepes,thailand
Tim Hortons,726 Michael Via Suite 090,Coleslaw,uruguay
Starbucks,19362 Payne Causeway Suite 534,French Fries,cabo-verde
Red Lobster,1813 Garrett Mill,Shakshuka,peru
Popeyes,738 Garner Bypass,Salad,mozambique
Shake Shack,1247 Grace Islands Apt. 246,Fettuccine Alfredo,aruba
Dunkin',677 Carolyn Way,Ratatouille,chad
Cracker Barrel,6038 Luis Parkways,Arepas,kenya
Dunkin',81082 Albert Manors Apt. 771,Baklava,solomon-islands
Domino's,456 Carrie Dale Apt. 861,Quiche,solomon-islands
Wendy's,22777 Rush Key,Salad,somalia
Arby's,970 Smith Wells Suite 905,Falafel,moldova
Panera Bread,2894 Kenneth Roads,Salad,botswana
Little Caesars,664 Austin Extension,Pho,portugal
McDonald's,457 Bobby Lights Suite 545,Pancakes,ireland
Cracker Barrel,19507 Melissa Street,Curry,guernsey
Taco Bell,546 Clark Mall,Laksa,nepal
Starbucks,000 Carney Circle,Baguette,congo-democratic-republic-of-the
Red Lobster,10865 Michael Ranch Suite 245,Laksa,rwanda
Tim Hortons,25623 Scott Extensions,Jambalaya,gabon
KFC,1673 Townsend Turnpike,Shakshuka,peru
Pizza Hut,52323 Mercer Skyway Apt. 291,Tacos,malta
Five Guys,920 Ashley Club,Gnocchi,uzbekistan
Tim Hortons,150 Tina Shoals Apt. 638,Satay,haiti
Chili's,207 Beth Alley,Barbecue Ribs,west-bank
Five Guys,8897 Castaneda Way Apt. 829,Poke Bowl,afghanistan
Shake Shack,00983 Pamela Springs,Cassoulet,kenya
Tim Hortons,5113 Webb Springs,Carrot Cake,sri-lanka
Little Caesars,3461 Samuel Wells Apt. 182,Borscht,cyprus
Cracker Barrel,19507 Melissa Street,Bratwurst,philippines
Cheesecake Factory,6469 Crystal Crossroad,Baguette,brunei
Olive Garden,6402 Reid Ford,Barbecue Ribs,israel
Chick-fil-A,556 Kaylee Fords,Crepes,philippines
Five Guys,007 Tiffany Haven Suite 378,Lasagna,oman
Starbucks,78936 Lopez Freeway Apt. 599,Nasi Goreng,sudan
Taco Bell,74304 Kevin Trail,Tacos,malta
Taco Bell,74304 Kevin Trail,Samosa,united-states
Dunkin',31396 Lauren Lodge,Pho,antigua-and-barbuda
Starbucks,44769 Alexander Meadow Apt. 850,Spring Rolls,hungary
Tim Hortons,20131 Bradley Ways,Baguette,armenia
Wendy's,0976 Conway Route Apt. 897,Tabbouleh,thailand
Cheesecake Factory,925 Ramirez Road,Baguette,italy
TGI Friday's,943 Williams Flat Apt. 054,Salad,brazil
KFC,300 Lloyd Causeway,Salad,ecuador
Ruby Tuesday,477 Smith Meadow Apt. 029,Baguette,italy
Cracker Barrel,5314 Mcdonald Throughway,Pancakes,egypt
Pizza Hut,0324 Claudia Tunnel Apt. 292,Salad,namibia
Shake Shack,199 Tamara Forks Suite 830,Khachapuri,costa-rica
IHOP,6402 Reid Ford,Bratwurst,slovenia
Sonic Drive-In,61988 Tony Isle,Pho,antigua-and-barbuda
Starbucks,41292 Conway Cape,Haggis,slovakia
Popeyes,45590 Brown Prairie,Gnocchi,austria
Panera Bread,442 Reynolds Expressway,Pasta,northern-mariana-islands
Subway,358 Dodson Passage,Lasagna,micronesia-federated-states-of
Popeyes,213 Brandon Extensions Suite 945,Jambalaya,bermuda
